Date,Average,Min,Max,Ultimo
03-Jan-1994,7.1734,6.92,7.6,7.6
02-Jan-1995,8.5197,7.6,8.91,8.91
02-Jan-1996,6.2648,4.1,8.91,4.1
02-Jan-1997,4.108,4.1,4.35,4.35
02-Jan-1998,4.1358,3.4,4.35,3.4
04-Jan-1999,3.0343,2.9,3.4,3.25
03-Jan-2000,3.7092,3.25,4.0,4.0
02-Jan-2001,3.98,3.75,4.25,3.75
02-Jan-2002,4.075,3.75,4.25,3.75
02-Jan-2003,3.1476,2.75,3.75,2.75
02-Jan-2004,2.1591,2.0,2.75,2.0
03-Jan-2005,1.7312,1.5,2.0,1.5
02-Jan-2006,2.2052,1.5,3.0,3.0
02-Jan-2007,3.459,3.0,4.0,4.0
02-Jan-2008,4.1429,2.0,4.75,2.0
02-Jan-2009,0.6534,0.25,2.0,0.25
04-Jan-2010,0.5059,0.25,1.25,1.25
03-Jan-2011,1.7599,1.25,2.0,1.75
02-Jan-2012,1.456,1.0,1.75,1.0
02-Jan-2013,0.994,0.75,1.0,0.75
02-Jan-2014,0.4629,0.0,0.75,0.0
02-Jan-2015,-0.2526,-0.35,0.0,-0.35
04-Jan-2016,-0.4816,-0.5,-0.35,-0.5
02-Jan-2017,-0.5,-0.5,-0.5,-0.5
02-Jan-2018,-0.5,-0.5,-0.5,-0.5
02-Jan-2019,-0.255,-0.5,-0.25,-0.25
